timepoints,ssp119,ssp126,ssp245,ssp370,ssp434,ssp460,ssp534-over,ssp585
1750.5,278.0398716344941,278.0398716344941,278.0398716344941,278.0398716344941,278.0398716344941,278.0398716344941,278.0398716344941,278.0398716344941
1751.5,278.04308646293055,278.04308646293055,278.04308646293055,278.04308646293055,278.04308646293055,278.04308646293055,278.04308646293055,278.04308646293055
1752.5,278.0482136832883,278.0482136832883,278.0482136832883,278.0482136832883,278.0482136832883,278.0482136832883,278.0482136832883,278.0482136832883
1753.5,278.0550930231273,278.0550930231273,278.0550930231273,278.0550930231273,278.0550930231273,278.0550930231273,278.0550930231273,278.0550930231273
1754.5,278.0635808081287,278.0635808081287,278.0635808081287,278.0635808081287,278.0635808081287,278.0635808081287,278.0635808081287,278.0635808081287
1755.5,278.07365846483106,278.07365846483106,278.07365846483106,278.07365846483106,278.07365846483106,278.07365846483106,278.07365846483106,278.07365846483106
1756.5,278.0853268387895,278.0853268387895,278.0853268387895,278.0853268387895,278.0853268387895,278.0853268387895,278.0853268387895,278.0853268387895
1757.5,278.0985139648807,278.0985139648807,278.0985139648807,278.0985139648807,278.0985139648807,278.0985139648807,278.0985139648807,278.0985139648807
1758.5,278.11322877693897,278.11322877693897,278.11322877693897,278.11322877693897,278.11322877693897,278.11322877693897,278.11322877693897,278.11322877693897
1759.5,278.1292187218719,278.1292187218719,278.1292187218719,278.1292187218719,278.1292187218719,278.1292187218719,278.1292187218719,278.1292187218719
1760.5,278.1463333485674,278.1463333485674,278.1463333485674,278.1463333485674,278.1463333485674,278.1463333485674,278.1463333485674,278.1463333485674
1761.5,278.16485234472367,278.16485234472367,278.16485234472367,278.16485234472367,278.16485234472367,278.16485234472367,278.16485234472367,278.16485234472367
1762.5,278.18448540614276,278.18448540614276,278.18448540614276,278.18448540614276,278.18448540614276,278.18448540614276,278.18448540614276,278.18448540614276
1763.5,278.2051671081514,278.2051671081514,278.2051671081514,278.2051671081514,278.2051671081514,278.2051671081514,278.2051671081514,278.2051671081514
1764.5,278.227177243013,278.227177243013,278.227177243013,278.227177243013,278.227177243013,278.227177243013,278.227177243013,278.227177243013
1765.5,278.250649331491,278.250649331491,278.250649331491,278.250649331491,278.250649331491,278.250649331491,278.250649331491,278.250649331491
1766.5,278.2751984464146,278.2751984464146,278.2751984464146,278.2751984464146,278.2751984464146,278.2751984464146,278.2751984464146,278.2751984464146
1767.5,278.30102943407707,278.30102943407707,278.30102943407707,278.30102943407707,278.30102943407707,278.30102943407707,278.30102943407707,278.30102943407707
1768.5,278.3273124399044,278.3273124399044,278.3273124399044,278.3273124399044,278.3273124399044,278.3273124399044,278.3273124399044,278.3273124399044
1769.5,278.3541110973804,278.3541110973804,278.3541110973804,278.3541110973804,278.3541110973804,278.3541110973804,278.3541110973804,278.3541110973804
1770.5,278.3825524906058,278.3825524906058,278.3825524906058,278.3825524906058,278.3825524906058,278.3825524906058,278.3825524906058,278.3825524906058
1771.5,278.41333274556484,278.41333274556484,278.41333274556484,278.41333274556484,278.41333274556484,278.41333274556484,278.41333274556484,278.41333274556484
1772.5,278.44540683382144,278.44540683382144,278.44540683382144,278.44540683382144,278.44540683382144,278.44540683382144,278.44540683382144,278.44540683382144
1773.5,278.4797948015681,278.4797948015681,278.4797948015681,278.4797948015681,278.4797948015681,278.4797948015681,278.4797948015681,278.4797948015681
1774.5,278.5153720085324,278.5153720085324,278.5153720085324,278.5153720085324,278.5153720085324,278.5153720085324,278.5153720085324,278.5153720085324
1775.5,278.55132961626697,278.55132961626697,278.55132961626697,278.55132961626697,278.55132961626697,278.55132961626697,278.55132961626697,278.55132961626697
1776.5,278.5863690518597,278.5863690518597,278.5863690518597,278.5863690518597,278.5863690518597,278.5863690518597,278.5863690518597,278.5863690518597
1777.5,278.6214169780393,278.6214169780393,278.6214169780393,278.6214169780393,278.6214169780393,278.6214169780393,278.6214169780393,278.6214169780393
1778.5,278.65758173768927,278.65758173768927,278.65758173768927,278.65758173768927,278.65758173768927,278.65758173768927,278.65758173768927,278.65758173768927
1779.5,278.6968954705068,278.6968954705068,278.6968954705068,278.6968954705068,278.6968954705068,278.6968954705068,278.6968954705068,278.6968954705068
1780.5,278.7337461532792,278.7337461532792,278.7337461532792,278.7337461532792,278.7337461532792,278.7337461532792,278.7337461532792,278.7337461532792
1781.5,278.77248754362216,278.77248754362216,278.77248754362216,278.77248754362216,278.77248754362216,278.77248754362216,278.77248754362216,278.77248754362216
1782.5,278.8130930639908,278.8130930639908,278.8130930639908,278.8130930639908,278.8130930639908,278.8130930639908,278.8130930639908,278.8130930639908
1783.5,278.8544659240281,278.8544659240281,278.8544659240281,278.8544659240281,278.8544659240281,278.8544659240281,278.8544659240281,278.8544659240281
1784.5,278.8968721694764,278.8968721694764,278.8968721694764,278.8968721694764,278.8968721694764,278.8968721694764,278.8968721694764,278.8968721694764
1785.5,278.9454693105291,278.9454693105291,278.9454693105291,278.9454693105291,278.9454693105291,278.9454693105291,278.9454693105291,278.9454693105291
1786.5,278.99500838041763,278.99500838041763,278.99500838041763,278.99500838041763,278.99500838041763,278.99500838041763,278.99500838041763,278.99500838041763
1787.5,279.0436404177521,279.0436404177521,279.0436404177521,279.0436404177521,279.0436404177521,279.0436404177521,279.0436404177521,279.0436404177521
1788.5,279.0922089665889,279.0922089665889,279.0922089665889,279.0922089665889,279.0922089665889,279.0922089665889,279.0922089665889,279.0922089665889
1789.5,279.14055208957603,279.14055208957603,279.14055208957603,279.14055208957603,279.14055208957603,279.14055208957603,279.14055208957603,279.14055208957603
1790.5,279.19065607555666,279.19065607555666,279.19065607555666,279.19065607555666,279.19065607555666,279.19065607555666,279.19065607555666,279.19065607555666
1791.5,279.24092199029064,279.24092199029064,279.24092199029064,279.24092199029064,279.24092199029064,279.24092199029064,279.24092199029064,279.24092199029064
1792.5,279.2911676545367,279.2911676545367,279.2911676545367,279.2911676545367,279.2911676545367,279.2911676545367,279.2911676545367,279.2911676545367
1793.5,279.3437122445251,279.3437122445251,279.3437122445251,279.3437122445251,279.3437122445251,279.3437122445251,279.3437122445251,279.3437122445251
1794.5,279.39910643853966,279.39910643853966,279.39910643853966,279.39910643853966,279.39910643853966,279.39910643853966,279.39910643853966,279.39910643853966
1795.5,279.45598245429846,279.45598245429846,279.45598245429846,279.45598245429846,279.45598245429846,279.45598245429846,279.45598245429846,279.45598245429846
1796.5,279.5148113896745,279.5148113896745,279.5148113896745,279.5148113896745,279.5148113896745,279.5148113896745,279.5148113896745,279.5148113896745
1797.5,279.57478113765967,279.57478113765967,279.57478113765967,279.57478113765967,279.57478113765967,279.57478113765967,279.57478113765967,279.57478113765967
1798.5,279.6350318585012,279.6350318585012,279.6350318585012,279.6350318585012,279.6350318585012,279.6350318585012,279.6350318585012,279.6350318585012
1799.5,279.69600205705143,279.69600205705143,279.69600205705143,279.69600205705143,279.69600205705143,279.69600205705143,279.69600205705143,279.69600205705143
1800.5,279.7578706410867,279.7578706410867,279.7578706410867,279.7578706410867,279.7578706410867,279.7578706410867,279.7578706410867,279.7578706410867
1801.5,279.82056376045495,279.82056376045495,279.82056376045495,279.82056376045495,279.82056376045495,279.82056376045495,279.82056376045495,279.82056376045495
1802.5,279.8838579167028,279.8838579167028,279.8838579167028,279.8838579167028,279.8838579167028,279.8838579167028,279.8838579167028,279.8838579167028
1803.5,279.94412468912134,279.94412468912134,279.94412468912134,279.94412468912134,279.94412468912134,279.94412468912134,279.94412468912134,279.94412468912134
1804.5,280.0089467104996,280.0089467104996,280.0089467104996,280.0089467104996,280.0089467104996,280.0089467104996,280.0089467104996,280.0089467104996
1805.5,280.07124210086533,280.07124210086533,280.07124210086533,280.07124210086533,280.07124210086533,280.07124210086533,280.07124210086533,280.07124210086533
1806.5,280.136190912661,280.136190912661,280.136190912661,280.136190912661,280.136190912661,280.136190912661,280.136190912661,280.136190912661
1807.5,280.20077326961393,280.20077326961393,280.20077326961393,280.20077326961393,280.20077326961393,280.20077326961393,280.20077326961393,280.20077326961393
1808.5,280.26681862589066,280.26681862589066,280.26681862589066,280.26681862589066,280.26681862589066,280.26681862589066,280.26681862589066,280.26681862589066
1809.5,280.33404539980074,280.33404539980074,280.33404539980074,280.33404539980074,280.33404539980074,280.33404539980074,280.33404539980074,280.33404539980074
1810.5,280.3987336715225,280.3987336715225,280.3987336715225,280.3987336715225,280.3987336715225,280.3987336715225,280.3987336715225,280.3987336715225
1811.5,280.46089584795806,280.46089584795806,280.46089584795806,280.46089584795806,280.46089584795806,280.46089584795806,280.46089584795806,280.46089584795806
1812.5,280.5316844639516,280.5316844639516,280.5316844639516,280.5316844639516,280.5316844639516,280.5316844639516,280.5316844639516,280.5316844639516
1813.5,280.6056624853244,280.6056624853244,280.6056624853244,280.6056624853244,280.6056624853244,280.6056624853244,280.6056624853244,280.6056624853244
1814.5,280.68249458266394,280.68249458266394,280.68249458266394,280.68249458266394,280.68249458266394,280.68249458266394,280.68249458266394,280.68249458266394
1815.5,280.7539127212757,280.7539127212757,280.7539127212757,280.7539127212757,280.7539127212757,280.7539127212757,280.7539127212757,280.7539127212757
1816.5,280.82402150535006,280.82402150535006,280.82402150535006,280.82402150535006,280.82402150535006,280.82402150535006,280.82402150535006,280.82402150535006
1817.5,280.89321924220565,280.89321924220565,280.89321924220565,280.89321924220565,280.89321924220565,280.89321924220565,280.89321924220565,280.89321924220565
1818.5,280.9645838944176,280.9645838944176,280.9645838944176,280.9645838944176,280.9645838944176,280.9645838944176,280.9645838944176,280.9645838944176
1819.5,281.0449955126795,281.0449955126795,281.0449955126795,281.0449955126795,281.0449955126795,281.0449955126795,281.0449955126795,281.0449955126795
1820.5,281.1232430868235,281.1232430868235,281.1232430868235,281.1232430868235,281.1232430868235,281.1232430868235,281.1232430868235,281.1232430868235
